const,inflection,rate,b_asymptote,pop_density,id
0.061512081981472844,0.01598681799006369,0.004653621261155842,1.004512223352338,0.023830926190095282,1KME5474N8499
0.04956146419708287,0.015737798271512816,0.004746464067952176,0.9705394502024819,0.029001067215799058,1KME5474N8500
0.0179672376474439,0.015627331780602632,0.00484035134747043,0.9272776099956168,0.035076630846663896,1KME5474N8501
-0.008001025161797362,0.015614988261491191,0.0049415385560252064,0.8949656085243543,0.034224907516645885,1KME5474N8502
-0.012173905635498784,0.01563470137155134,0.005030225335016962,0.883538190379721,0.03256761747983986,1KME5474N8503
0.0036143505968681644,0.015673372276227417,0.005105199603247008,0.8625409911354454,-0.002667771579468577,1KME5474N8504
0.024998126464311,0.022020626421840488,0.0056140428720129,0.9016622538843906,-0.5515184708927449,1KME5475N8484
-0.01356870021443051,0.021690126828617314,0.005525215907781537,0.9030050137443114,-0.37824863143381204,1KME5475N8487
-0.06926051741552768,0.02077253057643649,0.005301438867057573,0.8994654355511084,-0.1531176313068166,1KME5475N8490
-0.10582207424789127,0.01912816033857444,0.004897127447055045,0.8558486649468586,-0.027163299032373436,1KME5475N8493
-0.09242255817123018,0.01761522111483974,0.004499974990621466,0.8803096812664601,0.0039458240365147605,1KME5475N8495
0.05014502606740569,0.015422618347040678,0.004340216125701724,0.9096701148197883,-0.021377437015567425,1KME5475N8499
0.04583582933031734,0.015184952215182195,0.004486272565283946,0.9218677329002376,-0.037897590746296284,1KME5475N8500
0.027771223463936165,0.015244658768745614,0.004619810160888475,0.915679778331983,-0.0342246706755606,1KME5475N8501
0.00635003115681095,0.015248120702255123,0.004739580309621116,0.9056674766440094,-0.016708919265012195,1KME5475N8502
0.002657127488877673,0.015282907038712669,0.00484873099602362,0.9006522005085458,-0.000574308833342546,1KME5475N8503
0.0005968270549589603,0.015363120535424596,0.0049458466242072036,0.8434608281590869,-0.01160695506898442,1KME5475N8504
0.025173213128015234,0.022106744027877247,0.005526110478141601,0.9083882653312471,-0.582613716677402,1KME5476N8482
0.025544019857576483,0.02206982948644305,0.00550902882553906,0.9087431672778349,-0.5972091070108997,1KME5476N8483
-0.08047966153314672,0.02069525878618975,0.00508864178212569,0.8994449379628757,-0.15211210686289786,1KME5476N8490
-0.10126529862731982,0.020169988675028828,0.004947825479524895,0.8972100196771016,-0.07283500507065481,1KME5476N8491
-0.1436190886689457,0.01881254123314179,0.004582787256656032,0.8087747341701889,-0.024534543966085662,1KME5476N8493
-0.14730964835970287,0.01793812349536766,0.004353885763924771,0.78128457697545,-0.00852471346737893,1KME5476N8494
-0.1329176832354379,0.017101929575606852,0.0040840205655123685,0.8351702338456686,0.015318543152009381,1KME5476N8495
-0.05125642168358357,0.015732493744465545,0.003744051146964026,0.8480324597548488,0.03192592742150049,1KME5476N8497
-0.0038204904305596003,0.015352418127394157,0.004974699117079496,0.8032692663103342,-0.0039833903933194515,1KME5476N8506
0.027590708802613717,0.02201046664263069,0.005378948126208476,0.9139555456786224,-0.6193374064386182,1KME5477N8483
0.00206795019914133,0.021828992822674993,0.005301717074821458,0.8860472801368159,-0.5820158382689248,1KME5477N8485
-0.0074423828807912065,0.021672704873521662,0.005246829160246408,0.8920033458734468,-0.5180660883449534,1KME5477N8486
-0.1481331535822804,0.019267434091158938,0.004456572816968739,0.8721897469033448,-0.050158930135134276,1KME5477N8492
-0.1700958887865121,0.018448606306430086,0.004209799644157291,0.8195033589738847,-0.03290740926405861,1KME5477N8493
-0.18502267629635785,0.017468803244005224,0.0039263257364855145,0.7825421886439897,-0.007734658540054924,1KME5477N8494
-0.1374899802156163,0.01576758369684369,0.003349646707219659,0.8380277246487894,0.043577617384404244,1KME5477N8496
-0.044413728350455504,0.014505852139027943,0.003476682480343835,0.8017481107578447,0.04542112105958822,1KME5477N8498
0.013917120843881267,0.014103946340947228,0.003959881257088491,0.7601170492955741,0.007328676159739899,1KME5477N8500
0.02299983591802943,0.021919510940730212,0.0051917844858796105,0.8945623207556852,-0.6502733163388913,1KME5478N8484
0.0017913150114340973,0.02180037652618113,0.005134473535227167,0.8303471832803007,-0.6244126123484197,1KME5478N8485
-0.022465891711993202,0.02163967377839495,0.005063346693217106,0.8213860642834315,-0.5710567553650314,1KME5478N8486
-0.056601210430755694,0.021126908665904193,0.0048649221679601855,0.8951589494043406,-0.3192360427598063,1KME5478N8488
-0.1406605404496337,0.019736796138536048,0.004342512820085931,0.9281101547271587,-0.07402218243566654,1KME5478N8491
