id,t_const,t_inflection,t_rate,t_b_asymptote,t_pop_density,tfilt_const,tfilt_inflection,tfilt_rate,tfilt_b_asymptote,tfilt_pop_density
1KME5475N8493,-2.2138409064534748,0.7376551283515068,0.2238881904287238,12.583684458492534,-0.49952506931904805,0.0,0.0,0.0,12.583684458492534,0.0
1KME5475N8495,-1.784706983522444,0.6811507316726416,0.20574180668006198,12.484149847162366,0.07797756416135143,0.0,0.0,0.0,12.484149847162366,0.0
1KME5475N8499,0.9525249777866084,0.6010166295612096,0.19946500723541014,13.506320470113282,-0.3579352699716265,0.0,0.0,0.0,13.506320470113282,0.0
1KME5475N8500,0.8302136325594222,0.5926413749283843,0.20645141819337323,8.14470033920984,-0.5683822411610316,0.0,0.0,0.0,8.14470033920984,0.0
1KME5475N8501,0.4852243418343612,0.5958775772954995,0.2127556170633763,7.346362662471388,-0.48040075667203774,0.0,0.0,0.0,7.346362662471388,0.0
1KME5475N8502,0.1087997420255743,0.5965866667079597,0.21835642114315937,7.034439762197335,-0.2127088554714925,0.0,0.0,0.0,7.034439762197335,0.0
1KME5475N8503,0.05102940954927199,0.5983719856584983,0.22343468188089247,7.002465764784458,-0.006577154189959715,0.0,0.0,0.0,7.002465764784458,0.0
1KME5475N8504,0.01190135550199038,0.6018436636275628,0.2279386470528143,8.040646048101172,-0.13631635172767606,0.0,0.0,0.0,8.040646048101172,0.0
1KME5476N8482,0.42086904326645186,0.8536269465901913,0.25262425149651035,18.19545442774975,-9.452798974114685,0.0,0.0,0.0,18.19545442774975,-9.452798974114685
1KME5476N8483,0.38584720195815647,0.8518346861394964,0.251759084390846,17.452702954889844,-8.57539040814232,0.0,0.0,0.0,17.452702954889844,-8.57539040814232
1KME5476N8490,-1.7958350565224162,0.7968337992283627,0.23228712570748944,22.260948806991635,-3.2518121582118233,0.0,0.0,0.0,22.260948806991635,-3.2518121582118233
1KME5476N8491,-2.2080668628532525,0.7768539225525484,0.22594289572995582,16.394783105537172,-1.1508349152571429,0.0,0.0,0.0,16.394783105537172,0.0
1KME5476N8493,-2.6280605470154734,0.7250288366854719,0.20946003171062536,6.622894992365501,-0.4620576819464771,0.0,0.0,0.0,6.622894992365501,0.0
1KME5476N8494,-2.8143284179422734,0.6914738822138234,0.19906611950626035,6.63108982531833,-0.1192089913334835,-2.8143284179422734,0.0,0.0,6.63108982531833,0.0
1KME5476N8495,-2.642054582310854,0.6607656928194827,0.18671642502604796,12.285574255066685,0.32616062915248617,0.0,0.0,0.0,12.285574255066685,0.0
1KME5476N8497,-1.1139754693357842,0.610765216405675,0.1715120917725598,19.03711596643149,0.7597827273734777,0.0,0.0,0.0,19.03711596643149,0.0
1KME5476N8506,-0.10541552083245687,0.6018807277085747,0.2293748607503166,15.73401981777052,-0.08529705866744065,0.0,0.0,0.0,15.73401981777052,0.0
1KME5477N8483,0.4190364731197347,0.8494647457572834,0.24575961543921696,14.91804966532856,-9.261415495060557,0.0,0.0,0.0,14.91804966532856,-9.261415495060557
1KME5477N8485,0.03043231938220675,0.8418143488050103,0.2420744613420351,18.142773556611733,-9.056593930537014,0.0,0.0,0.0,18.142773556611733,-9.056593930537014
1KME5477N8486,-0.1269225040833757,0.8355535890358591,0.23950225750692886,19.42332948520866,-8.968840733191046,0.0,0.0,0.0,19.42332948520866,-8.968840733191046
1KME5477N8492,-2.81888491906581,0.7421861865227041,0.20347427434809948,9.24026821163265,-0.6553894099655412,-2.81888491906581,0.0,0.0,9.24026821163265,0.0
1KME5477N8493,-3.277168864267801,0.7105567424398865,0.19232145012524038,8.527386911043264,-0.47171955097139073,-3.277168864267801,0.0,0.0,8.527386911043264,0.0
1KME5477N8494,-3.431397507442896,0.6730865553076594,0.17947654713898423,8.000346896073818,-0.1242902691318041,-3.431397507442896,0.0,0.0,8.000346896073818,0.0
1KME5477N8496,-2.8995737240124333,0.610556008341991,0.15332598947252082,9.37760683342873,0.9700164876299937,-2.8995737240124333,0.0,0.0,9.37760683342873,0.0
1KME5477N8498,-0.945572405060736,0.5641396710009499,0.15983132671544525,19.9539614896878,1.0362556416307465,0.0,0.0,0.0,19.9539614896878,0.0
1KME5477N8500,0.29035421039676834,0.5505310564175679,0.18250168910956335,18.852849925373423,0.15416679928358443,0.0,0.0,0.0,18.852849925373423,0.0
1KME5478N8484,0.3350987415462643,0.8452285370985873,0.23707938956222377,8.999592443724271,-9.31544384034491,0.0,0.0,0.0,8.999592443724271,-9.31544384034491
1KME5478N8485,0.026499016955924666,0.8403040211778128,0.23438567296984983,9.973377136478435,-8.61143066722252,0.0,0.0,0.0,9.973377136478435,-8.61143066722252
1KME5478N8486,-0.34012853806178533,0.8337935618057556,0.23107170246343556,11.557855158375624,-7.413308371168776,0.0,0.0,0.0,11.557855158375624,-7.413308371168776
1KME5478N8488,-1.1016896063892967,0.8136273907066811,0.22192349661422145,21.363123203926904,-7.315853417902527,0.0,0.0,0.0,21.363123203926904,-7.315853417902527
1KME5478N8491,-2.752484818749187,0.759092616202208,0.1980856850073582,9.573717735667929,-1.21962588399981,0.0,0.0,0.0,9.573717735667929,0.0
1KME5478N8492,-3.3732800417334734,0.7295019192243515,0.18599335535309383,9.785778945493233,-0.6741226299452434,-3.3732800417334734,0.0,0.0,9.785778945493233,0.0
1KME5478N8493,-3.777744948096192,0.6931650202064557,0.17269192036318332,9.331395950070512,-0.4622154010504019,-3.777744948096192,0.0,0.0,9.331395950070512,0.0
1KME5478N8494,-4.055756202751615,0.649064995450539,0.15594872167110901,8.044016703199311,-0.06223267868378483,-4.055756202751615,0.0,0.0,8.044016703199311,0.0
1KME5478N8495,-4.019651260125177,0.6122593225802742,0.1381313365567218,8.624393177445796,0.334633188631498,-4.019651260125177,0.0,0.0,8.624393177445796,0.0
1KME5478N8496,-3.5626081062701602,0.5784557582633479,0.1359582131942932,12.71458261685322,0.8586829807848484,-3.5626081062701602,0.0,0.0,12.71458261685322,0.0
